name,position,price,assists,points,goals,goals_in_box,goals-outside_box,shots,shots_in_the_box,shots_on_target
Alexander-Arnold,DEF,5.1,3,87,1,0,1,17,4,5
Armstrong,MID,5.1,0,42,3,2,1,17,7,10
Foyth,DEF,5,0,25,1,1,0,2,2,1
March,MID,5,5,68,1,1,0,28,9,3
Lennon,MID,5,1,41,1,1,0,4,4,2
Aké,DEF,5,0,67,3,3,0,16,16,7
Andone,FWD,5,0,24,2,2,0,11,10,5
Hoilett,MID,5,0,45,2,0,2,21,9,6
Seri,MID,5,2,52,1,0,1,12,0,4
Origi,FWD,5,1,11,1,1,0,2,2,1
Herrera,MID,5,3,46,2,1,1,15,7,5
Brooks,MID,5,2,74,5,4,1,29,20,14
Matic,MID,5,0,40,1,1,0,8,6,3
Lovren,DEF,4.9,0,54,1,1,0,5,5,1
Shaw,DEF,4.9,1,41,1,1,0,14,7,7
Kanté,MID,4.9,2,73,3,3,0,20,12,4
Ndidi,MID,4.9,0,52,1,0,1,38,13,6
Capoue,MID,4.9,2,48,1,0,1,10,2,2
Hughes,MID,4.9,1,40,1,0,1,14,7,5
Keane,DEF,4.9,2,66,1,1,0,22,23,6
Matip,DEF,4.9,0,28,1,1,0,1,1,1
Neves,MID,4.9,1,53,2,1,1,46,1,9
Costa,MID,4.8,2,47,1,1,0,25,13,7
Kenedy,MID,4.8,1,43,1,1,0,29,10,5
Holebas,DEF,4.8,5,64,3,1,2,10,2,4
McArthur,MID,4.8,2,67,2,1,1,19,13,5
Jorginho,MID,4.8,0,53,1,1,0,9,1,4
Joselu,DEF,4.8,0,28,2,2,0,17,16,5
Bertrand,DEF,4.8,0,33,1,0,1,11,3,2
Pritchard,MID,4.8,0,40,1,0,1,33,17,10
Murphy,MID,4.8,0,50,3,3,0,35,21,11
Gibson,DEF,4.8,0,6,1,1,0,1,1,1
Dier,MID,4.7,0,39,2,2,0,5,4,2
Tarkowski,DEF,4.7,0,58,3,3,0,11,11,6
Sema,MID,4.6,2,28,1,0,1,8,4,2
Duffy,DEF,4.6,1,72,4,4,0,14,14,8
Success,FWD,4.6,0,31,1,1,0,24,14,8
Cork,MID,4.6,1,49,1,1,0,10,5,2
Boly,DEF,4.6,0,70,2,2,0,10,9,4
Camarasa,MID,4.6,2,65,3,2,1,27,8,8
Billing,MID,4.5,0,52,2,1,1,35,12,7
Bamba,DEF,4.5,1,66,2,2,0,17,17,5
Lerma,MID,4.5,0,36,1,1,0,20,4,7
Yedlin,DEF,4.5,1,38,1,1,0,8,3,3
Cathcart,DEF,4.5,0,53,1,1,0,7,7,2
Dunk,DEF,4.5,0,54,2,2,0,10,9,3
Kamara,MID,4.5,0,28,3,3,0,21,14,10
Clark,DEF,4.5,0,34,2,2,0,6,6,2
Steve Cook,DEF,4.5,1,54,1,1,0,15,9,6
Dale Stephens,MID,4.4,0,31,1,1,0,3,2,1
Schindler,DEF,4.4,0,53,2,2,0,10,11,3
Zanka,DEF,4.4,1,56,3,3,0,6,5,4
Quina,MID,4.4,0,14,1,0,1,5,1,1
Schlupp,DEF,4.4,0,42,3,3,0,10,8,5
McNeil,MID,4.4,1,15,1,1,0,9,6,1
Højbjerg,MID,4.4,1,45,3,2,1,34,12,14
Adam Smith,DEF,4.4,0,37,1,1,0,2,2,1
Gunnarsson,MID,4.4,0,33,1,1,0,6,2,2
Maitland-Niles,MID,4.4,0,15,1,1,0,4,3,3
Kayal,MID,4.4,1,25,1,1,0,3,2,2
Danny Ward,MID,4.3,0,17,1,1,0,4,3,3
Kongolo,DEF,4.3,0,38,1,1,0,9,7,2
Jonny,DEF,4.3,0,57,1,1,0,12,7,4
Balbuena,DEF,4.3,0,44,1,1,0,16,17,2
Balogun,DEF,4.2,0,15,1,1,0,1,1,1
Cédric,DEF,4.2,2,50,1,0,1,10,2,3
Saïss,DEF,4.2,0,21,1,1,0,6,4,3
Stankovic,DEF,3.9,0,6,1,1,0,2,1,1
